model,langs,spearman,p
Gemma 4 E4B,EN-RU,0.8811,1.4286844957889418e-05
Gemma 4 E4B,EN-KY,0.8275,0.00014032636381573735
Gemma 4 E4B,RU-KY,0.9607,1.3027489790343413e-08
Qwen3-8B,EN-RU,0.8998,4.926713552880761e-06
Qwen3-8B,EN-KY,0.7764,0.0006648924353401271
Qwen3-8B,RU-KY,0.8211,0.0001750275887269309
Llama-3.1-8B,EN-RU,0.8972,5.778941419643647e-06
Llama-3.1-8B,EN-KY,0.8479,6.51691904466747e-05
Llama-3.1-8B,RU-KY,0.8132,0.00022700825872263227
Mistral-7B,EN-RU,0.9696,2.5199456028300392e-09
Mistral-7B,EN-KY,0.8175,0.00019725167398683234
Mistral-7B,RU-KY,0.8354,0.00010558824852065702
XLM-R,EN-RU,0.9302,5.055582656634011e-07
XLM-R,EN-KY,0.9205,1.1568972450162702e-06
XLM-R,RU-KY,0.9552,3.002657686009654e-08
